original_url,degree_type,degree_url,date
https://www.lse.ac.uk/programmes/search-courses,Executive,https://lse.ac.uk/study-at-lse/Graduate/degree-programmes-2022/Executive-Master-of-Laws-ELLM/Home.aspx,Starting 2022
https://www.lse.ac.uk/programmes/search-courses,Graduate taught,https://lse.ac.uk/study-at-lse/Graduate/degree-programmes-2024/MSc-Human-Rights-and-Politics/Home.aspx,Starting 2024
https://www.lse.ac.uk/programmes/search-courses,Graduate taught,https://lse.ac.uk/study-at-lse/Graduate/degree-programmes-2024/MSc-Econometrics-and-Mathematical-Economics/Home.aspx,Starting 2024
https://www.lse.ac.uk/programmes/search-courses,Graduate taught,https://lse.ac.uk/study-at-lse/Graduate/degree-programmes-2024/MSc-Anthropology-and-Development/Home.aspx,Starting 2024
https://www.lse.ac.uk/programmes/search-courses,Executive,https://lse.ac.uk/study-at-lse/Graduate/degree-programmes-2024/MSc-Finance-part-time/Home.aspx,Starting 2024
https://www.lse.ac.uk/programmes/search-courses,Graduate taught,https://lse.ac.uk/study-at-lse/Graduate/degree-programmes-2024/MSc-Management-and-Strategy/Home.aspx,Starting 2024
https://www.lse.ac.uk/programmes/search-courses,Graduate research,https://lse.ac.uk/study-at-lse/Graduate/degree-programmes-2024/VRS-Regional-and-Urban-Planning/Home.aspx,Starting 2024
https://www.lse.ac.uk/programmes/search-courses,Graduate taught,https://lse.ac.uk/study-at-lse/Graduate/degree-programmes-2024/MSc-Philosophy-of-Science/Home.aspx,Starting 2024
https://www.lse.ac.uk/programmes/search-courses,Graduate taught,https://lse.ac.uk/study-at-lse/Graduate/degree-programmes-2024/MSc-Social-Research-Methods/Home.aspx,Starting 2024
https://www.lse.ac.uk/programmes/search-courses,Executive,https://lse.ac.uk/study-at-lse/Graduate/degree-programmes-2024/Executive-MSc-Healthcare-Decision-Making/Home.aspx,Starting 2024
